Nombre,Versión,Url
Bartender4,4.4.2-12-g94f3b58,https://www.wowace.com/projects/bartender4/files/439962/download
Shadowed units frames,3.2.12,https://www.wowace.com/projects/shadowed-unit-frames/files/435570/download
Prat3.0,3.4.4,https://www.wowace.com/projects/prat-3-0/files/457980/download
Xloot,0.91.1-30300,https://www.wowace.com/projects/xloot/files/403604/download
Xloot Monitor,0.72-30300,https://www.wowace.com/projects/xloot-monitor/files/420083/download
XlootMaster,0.81-30300,https://www.wowace.com/projects/xloot-master/files/396785/download
Xloot Group,0.61-30300,https://www.wowace.com/projects/xloot-group/files/403607/download
Quartz,3.0.3.1,https://www.wowace.com/projects/quartz/files/441489/download
Skada,3.0.1,https://www.wowace.com/projects/skada/files/458800/download
Flump,1.0.7,https://wow.curseforge.com/projects/flump/files/451218/download
Bagnon,2.13.3 Beta,https://wow.curseforge.com/projects/bagnon/files/441052/download
Vuhdo,2.23,http://wildtinybrothers.de/under_dev/3_35/VuhDo_2.23.zip
PowerAura,3.0.0S,https://wow.curseforge.com/projects/powerauras-classic/files/452580/download
Auctioneer,5.8.4723,https://wow.curseforge.com/projects/auctioneer/files/427823/download
LoseControl,3.33,https://wow.curseforge.com/projects/losecontrol/files/417954/download
BigWigs Bossmods,r7558,https://wow.curseforge.com/projects/big-wigs/files/458195/download
Scrap,3.1,https://wow.curseforge.com/projects/scrap/files/429431/download
Ingela's Rapture,1.3,https://www.wowace.com/projects/ingelasrapture/files/416019/download
Sexymap,1.2.3p,https://wow.curseforge.com/projects/sexymap/files/422702/download
PowerAura Classic V4,4.30.2,https://wow.curseforge.com/projects/power-auras-classic-v4/files/2668530/download
OmniCC,3.0.4,https://wow.curseforge.com/projects/omni-cc/files/454434/download
Tiptac,10.05.01,https://wow.curseforge.com/projects/tip-tac/files/427096/download
AckisRecipeList,2.01-14-gfc58e9f,https://www.wowace.com/projects/arl/files/458020/download
MikScrollCombatBattle,5.4.78,https://wow.curseforge.com/projects/mik-scrolling-battle-text/files/422879/download
OmniCC Pulse,1.1.2,https://wow.curseforge.com/projects/omnicc_pulse/files/398916/download
Overachievment,0.56,https://wow.curseforge.com/projects/overachiever/files/443622/download
Talented,2.4.6c,https://www.wowinterface.com/downloads/download12593-Talented
Postal,3.4.0,https://www.wowace.com/projects/postal/files/454623/download
RaidRoll,4.4.15,https://wow.curseforge.com/projects/raid-roll/files/450070/download
Atlasloot,5.11.04,https://www.wowace.com/projects/atlasloot-enhanced/files/445202/download
GearScore Lite,fanUpdate,https://wow.curseforge.com/projects/gearscorelite/files/427784/download
TidyPlates,5.13.3,https://wow.curseforge.com/projects/tidy-plates/files/455039/download
AH-Fix Warmane,1.5,https://mega.nz/#!UwZWjLwK!YqP4jlxRw7OdmjyoeqIaOrZejUiF_qFpArYy4rLabDc
